Category,Subcategory,Place,Address
Tutorial Rooms,NIE2,203,"Tutorial Room 203 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR203"
Tutorial Rooms,NIE2,204,"Tutorial Room 204 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR204"
Tutorial Rooms,NIE2,205,"Tutorial Room 205 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR205"
Tutorial Rooms,NIE2,206,"Tutorial Room 206 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR206"
Tutorial Rooms,NIE2,207,"Tutorial Room 207 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR207"
Tutorial Rooms,NIE2,208,"Tutorial Room 208 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR208"
Tutorial Rooms,NIE2,209,"Tutorial Room 209 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR209"
Tutorial Rooms,NIE2,210,"Tutorial Room 210 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR210"
Tutorial Rooms,NIE2,211,"Tutorial Room 211 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR211"
Tutorial Rooms,NIE2,212,"Tutorial Room 212 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR212"
Tutorial Rooms,NIE2,213,"Tutorial Room 213 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR213"
Tutorial Rooms,NIE2,214,"Tutorial Room 214 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR214"
Tutorial Rooms,NIE2,215,"Tutorial Room 215 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR215"
Tutorial Rooms,NIE2,216,"Tutorial Room 216 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR216"
Tutorial Rooms,NIE3,301,"Tutorial Room 301 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR301"
Tutorial Rooms,NIE3,302,"Tutorial Room 302 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR302"
Tutorial Rooms,NIE3,303,"Tutorial Room 303 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR303"
Tutorial Rooms,NIE3,304,"Tutorial Room 304 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR304"
Tutorial Rooms,NIE3,305,"Tutorial Room 305 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR305"
Tutorial Rooms,NIE3,306,"Tutorial Room 306 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR306"
Tutorial Rooms,NIE3,307,"Tutorial Room 307 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR307"
Tutorial Rooms,NIE3,308,"Tutorial Room 308 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR308"
Tutorial Rooms,NIE3,309,"Tutorial Room 309 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR309"
Tutorial Rooms,NIE3,310,"Tutorial Room 310 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR310"
Tutorial Rooms,NIE3,311,"Tutorial Room 311 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR311"
Tutorial Rooms,NIE3,312,"Tutorial Room 312 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR312"
Tutorial Rooms,NIE3,313,"Tutorial Room 313 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR313"
Tutorial Rooms,NIE3,314,"Tutorial Room 314 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR314"
Tutorial Rooms,NIE3,315,"Tutorial Room 315 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR315"
Tutorial Rooms,NIE3,316,"Tutorial Room 316 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR316"
Tutorial Rooms,NIE3,317,"Tutorial Room 317 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR317"
Tutorial Rooms,NIE3,318,"Tutorial Room 318 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR318"
Tutorial Rooms,NIE3,319,"Tutorial Room 319 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR319"
Tutorial Rooms,NIE3,320,"Tutorial Room 320 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR320"
Tutorial Rooms,NIE3,321,"Tutorial Room 321 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR321"
Tutorial Rooms,NIE3,322,"Tutorial Room 322 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-TR322"
Tutorial Rooms,NIE3,323,"Tutorial Room 323 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-B1-TR323"
Tutorial Rooms,NIE5,501,"Tutorial Room 501 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR501"
Tutorial Rooms,NIE5,502,"Tutorial Room 502 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR502"
Tutorial Rooms,NIE5,503,"Tutorial Room 503 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR503"
Tutorial Rooms,NIE5,504,"Tutorial Room 504 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR504"
Tutorial Rooms,NIE5,505,"Tutorial Room 505 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR505"
Tutorial Rooms,NIE5,506,"Tutorial Room 506 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR506"
